                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.06512,                 0.9158,                      1,                0.50405,               0.003169,               0.003169,               0.003169
                     71,                0.06742,                 0.9162,                      1,                0.50381,                0.00307,                0.00307,                0.00307
                     72,                0.06296,                  0.917,                      1,                0.50362,               0.002971,               0.002971,               0.002971
                     73,                0.06183,                 0.9168,                      1,                0.50337,               0.002872,               0.002872,               0.002872
                     74,                 0.0592,                 0.9162,                      1,                 0.5032,               0.002773,               0.002773,               0.002773
                     75,                0.06057,                0.91501,                      1,                0.50298,               0.002674,               0.002674,               0.002674
                     76,                0.05615,                0.91521,                      1,                0.50276,               0.002575,               0.002575,               0.002575
                     77,                0.05643,                0.91561,                      1,                0.50259,               0.002476,               0.002476,               0.002476
                     78,                0.05331,                 0.9162,                      1,                0.50237,               0.002377,               0.002377,               0.002377
                     79,                0.05348,                 0.9168,                      1,                0.50219,               0.002278,               0.002278,               0.002278
                     80,                0.04802,                 0.9162,                      1,                  0.502,               0.002179,               0.002179,               0.002179
                     81,                0.04924,                  0.917,                      1,                0.50175,                0.00208,                0.00208,                0.00208
                     82,                0.04706,                 0.9174,                      1,                0.50148,               0.001981,               0.001981,               0.001981
                     83,                0.04626,                 0.9172,                      1,                0.50129,               0.001882,               0.001882,               0.001882
                     84,                0.04681,                 0.9176,                      1,                0.50108,               0.001783,               0.001783,               0.001783
                     85,                0.04499,                0.91839,                      1,                0.50089,               0.001684,               0.001684,               0.001684
                     86,                0.04488,                 0.9172,                      1,                0.50071,               0.001585,               0.001585,               0.001585
                     87,                0.04062,                0.91779,                      1,                0.50052,               0.001486,               0.001486,               0.001486
                     88,                   0.04,                0.91839,                      1,                0.50032,               0.001387,               0.001387,               0.001387
                     89,                0.03842,                0.91779,                      1,                0.50015,               0.001288,               0.001288,               0.001288
                     90,                0.03853,                 0.9174,                      1,                0.49999,               0.001189,               0.001189,               0.001189
                     91,                0.03547,                 0.9174,                      1,                 0.4998,                0.00109,                0.00109,                0.00109
                     92,                0.03432,                0.91799,                      1,                0.49965,               0.000991,               0.000991,               0.000991
                     93,                0.03349,                0.91859,                      1,                0.49949,               0.000892,               0.000892,               0.000892
                     94,                0.03394,                0.91919,                      1,                0.49937,               0.000793,               0.000793,               0.000793
                     95,                0.03164,                0.91939,                      1,                0.49923,               0.000694,               0.000694,               0.000694
                     96,                0.03084,                0.91939,                      1,                 0.4991,               0.000595,               0.000595,               0.000595
                     97,                0.02945,                0.91899,                      1,                0.49898,               0.000496,               0.000496,               0.000496
                     98,                0.02947,                0.91939,                      1,                0.49886,               0.000397,               0.000397,               0.000397
                     99,                 0.0286,                0.91959,                      1,                0.49869,               0.000298,               0.000298,               0.000298
